period,minute,second,possession,duration,possession_team.name,play_pattern.id,play_pattern.name,player.id,player.name,position.name,shot.statsbomb_xg,shot.first_time,shot.technique.name,shot.outcome.name,shot.type.name,shot.body_part.name,match_id,location.x,location.y,location.x.GK,location.y.GK,player.name.GK,DistToGoal,DistToKeeper,AngleToGoal,avevelocity,distance.ToD1,DefendersBehindBall,TimeInPoss
2,69,2,139,1.2781,France Women's,1,Regular Play,25445,Chae-Rim Kang,Right Midfield,0.017211825,NA,Normal,Off T,Open Play,Right Foot,22921,98.9,55.5,118.5,41.7,Sarah Bouhaddi,26.181291030046623,2.267156809750929,126.30089791537391,21.249636583379825,4.031128874149272,3,8.201000000000022
2,76,31,148,1.242336,Korea Republic Women's,4,From Throw In,25444,Mi-Na Lee,Right Defensive Midfield,0.19863297,NA,Normal,Off T,Open Play,Right Foot,22921,103.6,49.2,113.5,43.3,Sarah Bouhaddi,18.80425483766906,7.289718787443037,119.29136217098426,18.668944973758116,-2.319482700948637,0,25.079999999999927
2,77,57,150,1.284698,France Women's,4,From Throw In,10114,Elise Bussaglia,Left Defensive Midfield,0.043303065,TRUE,Normal,Off T,Open Play,Right Foot,22921,99.2,39.4,118.7,39.3,Min-Jeong Kim,20.80865204668481,1.476482306023339,88.34769532234859,16.598764200538024,5.323532661682464,6,23.30499999999938
2,83,21,165,0.1457,Korea Republic Women's,1,Regular Play,25451,Hye-Ri Kim,Right Back,0.011686509,NA,Normal,Blocked,Open Play,Right Foot,22921,93.2,51.4,117.2,40.7,Sarah Bouhaddi,29.123873368767413,2.88617393793236,113.04359780015574,14.331237486493553,2.599999999999992,5,48.550999999999476
2,84,5,166,1.717468,France Women's,1,Regular Play,10123,Amandine Henry,Right Defensive Midfield,0.026456304,NA,Normal,Goal,Open Play,Right Foot,22921,99.1,29.6,118.4,39.4,Min-Jeong Kim,23.3445925216098,1.7088007490635013,63.5447107183675,14.646977443785888,2.2090722034374553,6,42.323999999999614
2,88,40,174,0.136625,France Women's,3,From Free Kick,10137,Kadidiatou Diani,Right Wing,0.009638967,TRUE,Normal,Blocked,Open Play,Left Foot,22921,96.3,36.7,118.7,39.5,Min-Jeong Kim,23.928643923131126,1.3928388277184094,82.0730733173104,8.813609938731798,1.6278820596099783,10,3.34900000000016
2,92,25,181,0.1385,Korea Republic Women's,4,From Throw In,25453,Geum-Min Lee,Left Midfield,0.011279233,NA,Normal,Blocked,Open Play,Right Foot,22921,101.6,24.9,118.2,37.1,Sarah Bouhaddi,23.802730935756095,3.4132096331751995,50.62591129033175,22.46404214599865,1.843908891458589,4,57.56200000000081
1,1,47,6,1.85583,Nigeria Women's,2,From Corner,25470,Osinachi Marvis Ohale,Right Back,0.06440007,NA,Normal,Saved,Open Play,Head,22924,111.3,40.3,119.7,40.8,Ingrid Hjelmseth,8.705170877128149,0.8544003745317494,91.97493401088214,4.744874253083809,0.44721359549995793,7,2.054000000000002
1,14,32,34,1.3659,Norway Women's,3,From Free Kick,10395,Maren Nævdal Mjelde,Right Center Back,0.008340467,NA,Normal,Off T,Free Kick,Right Foot,22924,88.5,36.7,119.1,39.8,Tochukwu Oluehi,31.672385448525976,0.921954445729295,84.01940047523657,23.362022447748288,11.12205017071942,10,0
1,16,51,37,0.2497,Norway Women's,2,From Corner,10514,Guro Reiten,Left Midfield,0.038813043,TRUE,Normal,Goal,Open Play,Left Foot,22924,110.5,51.2,119,42.1,Tochukwu Oluehi,14.686388255796592,2.325940669922603,139.694914279251,48.66292204462695,2.262741699796949,8,5.649999999999977
1,24,3,54,0.562369,Norway Women's,2,From Corner,10395,Maren Nævdal Mjelde,Right Center Back,0.034148343,NA,Normal,Off T,Open Play,Head,22924,113.9,45.6,119.5,42.9,Tochukwu Oluehi,8.280700453464064,2.942787793912431,132.55295135767642,14.253292359537406,0.4472135954999484,6,2.3509999999998854
1,27,42,66,1.3138,Norway Women's,4,From Throw In,10514,Guro Reiten,Left Midfield,0.0093771545,NA,Normal,Saved Off Target,Open Play,Left Foot,22924,106.7,23,118.4,36,Tochukwu Oluehi,21.58448516875026,4.308131845707601,38.03795373439072,12.895836493507742,0.6999999999999993,4,4.489000000000033
1,33,19,77,0.3828,Norway Women's,1,Regular Play,10387,Lisa-Marie Utland,Left Center Forward,0.2471904,TRUE,Normal,Goal,Open Play,Right Foot,22924,111.2,51,118.1,43.2,Tochukwu Oluehi,14.086873322352265,3.7215588131856845,141.34019174590992,35.7889237199582,13.718600511714014,1,36.87699999999995
1,40,28,91,1.108033,Nigeria Women's,4,From Throw In,5022,Francisca Ordega,Right Wing,0.10379954,NA,Normal,Wayward,Open Play,Head,22924,117.3,46.5,119.8,43.2,Ingrid Hjelmseth,7.03846574190711,3.2062439083762824,157.44275336529435,8.220682025211076,-0.3605551275463981,0,2.1660000000001673
1,40,34,91,0.667317,Nigeria Women's,4,From Throw In,17312,Rita Chikwelu,Left Center Midfield,0.06769074,TRUE,Normal,Blocked,Open Play,Left Foot,22924,104.7,35.7,119.6,38.9,Ingrid Hjelmseth,15.892765649816898,1.1704699910719658,74.30220748213867,15.241687701492614,5.879625838435633,8,7.791999999999916
1,40,36,91,0.606254,Nigeria Women's,4,From Throw In,25471,Ngozi Sonia Okobi,Center Attacking Midfield,0.047391202,TRUE,Normal,Wayward,Open Play,Left Foot,22924,109,41.6,119.3,38.7,Ingrid Hjelmseth,11.115754585272203,1.476482306023339,98.27589282707521,8.784124776542074,0.565685424949241,6,9.730000000000018
1,42,22,94,0.280573,Nigeria Women's,3,From Free Kick,25470,Osinachi Marvis Ohale,Right Back,0.0150421485,NA,Half Volley,Blocked,Open Play,Right Foot,22924,99.5,31.3,119.3,39.7,Ingrid Hjelmseth,22.269710370815332,0.7615773105863923,67.0041059739167,4.847747469904592,1.603121954188134,7,4.429000000000087
1,46,35,102,1.035646,Norway Women's,3,From Free Kick,10395,Maren Nævdal Mjelde,Right Center Back,0.05384991,NA,Normal,Off T,Free Kick,Right Foot,22924,100.9,24.1,119.9,38.5,Tochukwu Oluehi,24.851961693194355,1.5033296378372905,50.223947596268424,22.041062976201733,10.92748827498799,10,0
2,55,41,117,0.0882,Norway Women's,1,Regular Play,13479,Isabell Herlovsen,Right Center Forward,0.23184392,NA,Normal,Blocked,Open Play,Left Foot,22924,107.4,31.2,119.1,39.4,Tochukwu Oluehi,15.368799562750498,1.0816653826392022,55.06906269888941,11.223917161691134,1.4000000000000021,2,47.04899999999998
2,59,21,122,1.555556,Nigeria Women's,2,From Corner,25463,Chinaza Uchendu,Right Center Midfield,0.030303823,TRUE,Half Volley,Off T,Open Play,Right Foot,22924,101.7,47.1,116.6,41.9,Ingrid Hjelmseth,19.629060089571276,3.8948684188300935,111.2051646201222,12.572743903535418,4.119465984809191,10,4.071999999999662
2,69,27,141,1.071478,Nigeria Women's,6,From Counter,24881,Asisat Lamina Oshoala,Left Wing,0.2880529,NA,Normal,Off T,Open Play,Right Foot,22924,116.7,55.5,111.9,58.3,Ingrid Hjelmseth,15.847397262642216,20.012496096189494,167.9809975454555,10.094214987664689,-3.860051813123756,0,9.265000000000327
2,82,9,167,0.7009,Norway Women's,1,Regular Play,10384,Elise Thorsnes,Left Center Forward,0.05622681,NA,Normal,Saved,Open Play,Right Foot,22924,102.6,35.5,119,41.7,Tochukwu Oluehi,17.972478960900197,1.9723082923316044,75.4998332334474,23.83291541483361,2.507987240796891,2,28.17699999999968
2,83,8,169,0.502088,Norway Women's,8,From Keeper,10386,Caroline Graham Hansen,Right Midfield,0.056180354,NA,Normal,Saved,Open Play,Right Foot,22924,106.6,37.2,118.3,40.8,Tochukwu Oluehi,13.689411966918087,1.8788294228055948,78.1975657922165,23.244737959098387,1.3341664064126453,3,37.00799999999981
2,86,35,173,1.25835,Norway Women's,3,From Free Kick,10386,Caroline Graham Hansen,Right Midfield,0.043482117,NA,Normal,Off T,Free Kick,Right Foot,22924,92.7,31.6,120,41.5,Tochukwu Oluehi,28.563088068344427,1.5,72.89727103094764,23.4198148818554,10.67333125130106,10,0
