"gid","pid","off","def","type","qtr","min","sec","ptso","ptsd","dwn","ytg","yfog","zone","ptm","desc","seas","day","v","h","temp"
3990,652419,"NE","PIT","PASS",2,6,58,7,0,1,10,68,4,NA,NA,2015,"THU","PIT","NE",65
3990,652420,"NE","PIT","RUSH",2,6,22,7,0,1,10,80,5,NA,NA,2015,"THU","PIT","NE",65
3990,652421,"NE","PIT","RUSH",2,6,0,7,0,2,2,88,5,NA,NA,2015,"THU","PIT","NE",65
3990,652422,"NE","PIT","RUSH",2,5,19,7,0,3,1,89,5,NA,NA,2015,"THU","PIT","NE",65
3990,652423,"NE","PIT","PASS",2,4,46,7,0,1,9,91,5,NA,NA,2015,"THU","PIT","NE",65
3990,652424,"NE","PIT","PASS",2,4,6,7,0,2,6,94,5,NA,NA,2015,"THU","PIT","NE",65
3990,652425,"NE","PIT","FGXP",2,4,1,14,0,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652426,"PIT","NE","KOFF",2,4,1,0,14,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652427,"PIT","NE","PASS",2,3,57,0,14,1,10,17,1,NA,NA,2015,"THU","PIT","NE",65
3990,652428,"PIT","NE","NOPL",2,3,20,0,14,2,5,22,2,"PIT","Offensive Holding",2015,"THU","PIT","NE",65
3990,652429,"PIT","NE","PASS",2,2,51,0,14,2,15,12,1,NA,NA,2015,"THU","PIT","NE",65
3990,652430,"PIT","NE","PASS",2,2,13,0,14,3,6,21,2,NA,NA,2015,"THU","PIT","NE",65
3990,652431,"PIT","NE","RUSH",2,2,0,0,14,1,10,58,3,NA,NA,2015,"THU","PIT","NE",65
3990,652432,"PIT","NE","PASS",2,1,29,0,14,2,8,60,4,NA,NA,2015,"THU","PIT","NE",65
3990,652433,"PIT","NE","PASS",2,0,53,0,14,3,3,65,4,NA,NA,2015,"THU","PIT","NE",65
3990,652434,"PIT","NE","PASS",2,0,48,0,14,4,3,65,4,NA,NA,2015,"THU","PIT","NE",65
3990,652435,"PIT","NE","RUSH",2,0,43,0,14,1,10,69,4,NA,NA,2015,"THU","PIT","NE",65
3990,652436,"PIT","NE","PASS",2,0,19,0,14,2,5,74,4,NA,NA,2015,"THU","PIT","NE",65
3990,652437,"PIT","NE","PASS",2,0,13,0,14,3,5,74,4,NA,NA,2015,"THU","PIT","NE",65
3990,652438,"PIT","NE","FGXP",2,0,7,0,14,4,5,74,4,NA,NA,2015,"THU","PIT","NE",65
3990,652439,"NE","PIT","KOFF",2,0,3,14,3,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652440,"NE","PIT","RUSH",2,0,3,14,3,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652441,"NE","PIT","KOFF",3,15,0,14,3,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652442,"NE","PIT","PASS",3,15,0,14,3,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652443,"NE","PIT","RUSH",3,14,30,14,3,1,10,30,2,NA,NA,2015,"THU","PIT","NE",65
3990,652444,"NE","PIT","RUSH",3,14,6,14,3,2,6,34,2,NA,NA,2015,"THU","PIT","NE",65
3990,652445,"NE","PIT","PASS",3,13,29,14,3,3,5,35,2,NA,NA,2015,"THU","PIT","NE",65
3990,652446,"NE","PIT","RUSH",3,12,55,14,3,1,10,45,3,NA,NA,2015,"THU","PIT","NE",65
3990,652447,"NE","PIT","RUSH",3,12,18,14,3,1,10,56,3,NA,NA,2015,"THU","PIT","NE",65
3990,652448,"NE","PIT","PASS",3,11,57,14,3,2,1,65,4,NA,NA,2015,"THU","PIT","NE",65
3990,652449,"NE","PIT","NOPL",3,11,22,14,3,1,10,71,4,"PIT","Defensive Pass Interference",2015,"THU","PIT","NE",65
3990,652450,"NE","PIT","RUSH",3,11,17,14,3,1,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652451,"NE","PIT","PASS",3,10,43,14,3,2,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652452,"NE","PIT","FGXP",3,10,37,21,3,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652453,"PIT","NE","KOFF",3,10,37,3,21,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652454,"PIT","NE","RUSH",3,10,37,3,21,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652455,"PIT","NE","PASS",3,9,58,3,21,1,10,48,3,NA,NA,2015,"THU","PIT","NE",65
3990,652456,"PIT","NE","RUSH",3,9,14,3,21,1,10,81,5,NA,NA,2015,"THU","PIT","NE",65
3990,652457,"PIT","NE","RUSH",3,8,36,3,21,2,3,88,5,NA,NA,2015,"THU","PIT","NE",65
3990,652458,"PIT","NE","RUSH",3,7,58,3,21,1,2,98,5,NA,NA,2015,"THU","PIT","NE",65
3990,652459,"PIT","NE","RUSH",3,7,16,3,21,2,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652460,"PIT","NE","RUSH",3,6,48,3,21,3,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652461,"PIT","NE","CONV",3,6,43,11,21,0,2,98,5,NA,NA,2015,"THU","PIT","NE",65
3990,652462,"NE","PIT","KOFF",3,6,43,21,11,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652463,"NE","PIT","RUSH",3,6,43,21,11,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652464,"NE","PIT","PASS",3,6,17,21,11,1,10,33,2,NA,NA,2015,"THU","PIT","NE",65
3990,652465,"NE","PIT","PASS",3,5,36,21,11,2,15,28,2,NA,NA,2015,"THU","PIT","NE",65
3990,652466,"NE","PIT","PASS",3,5,0,21,11,3,3,40,2,NA,NA,2015,"THU","PIT","NE",65
3990,652467,"PIT","NE","PUNT",3,4,27,11,21,4,10,33,2,NA,NA,2015,"THU","PIT","NE",65
3990,652468,"PIT","NE","RUSH",3,4,15,11,21,1,10,27,2,NA,NA,2015,"THU","PIT","NE",65
3990,652469,"PIT","NE","RUSH",3,3,43,11,21,1,10,39,2,NA,NA,2015,"THU","PIT","NE",65
3990,652470,"PIT","NE","RUSH",3,2,59,11,21,2,5,44,3,NA,NA,2015,"THU","PIT","NE",65
3990,652471,"PIT","NE","PASS",3,2,15,11,21,3,6,43,3,NA,NA,2015,"THU","PIT","NE",65
3990,652472,"PIT","NE","PASS",3,1,31,11,21,1,10,55,3,NA,NA,2015,"THU","PIT","NE",65
3990,652473,"PIT","NE","RUSH",3,1,14,11,21,1,10,81,5,NA,NA,2015,"THU","PIT","NE",65
3990,652474,"PIT","NE","PASS",3,0,32,11,21,2,5,86,5,NA,NA,2015,"THU","PIT","NE",65
3990,652475,"PIT","NE","RUSH",4,15,0,11,21,1,8,92,5,NA,NA,2015,"THU","PIT","NE",65
3990,652476,"PIT","NE","PASS",4,14,19,11,21,2,8,92,5,NA,NA,2015,"THU","PIT","NE",65
3990,652477,"PIT","NE","NOPL",4,13,36,11,21,3,5,95,5,"NE","Defensive Pass Interference",2015,"THU","PIT","NE",65
3990,652478,"PIT","NE","PASS",4,13,30,11,21,1,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652479,"PIT","NE","RUSH",4,13,25,11,21,2,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652480,"PIT","NE","NOPL",4,12,49,11,21,3,1,99,5,"PIT","False Start",2015,"THU","PIT","NE",65
3990,652481,"PIT","NE","RUSH",4,12,22,11,21,3,5,95,5,NA,NA,2015,"THU","PIT","NE",65
3990,652482,"PIT","NE","FGXP",4,11,42,11,21,4,6,94,5,NA,NA,2015,"THU","PIT","NE",65
3990,652483,"NE","PIT","KOFF",4,11,39,21,14,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652484,"NE","PIT","PASS",4,11,34,21,14,1,10,21,2,NA,NA,2015,"THU","PIT","NE",65
3990,652485,"NE","PIT","PASS",4,11,5,21,14,1,10,73,4,NA,NA,2015,"THU","PIT","NE",65
3990,652486,"NE","PIT","RUSH",4,11,0,21,14,2,10,73,4,NA,NA,2015,"THU","PIT","NE",65
3990,652487,"NE","PIT","PASS",4,10,21,21,14,3,5,78,4,NA,NA,2015,"THU","PIT","NE",65
3990,652488,"NE","PIT","RUSH",4,10,3,21,14,1,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652489,"NE","PIT","PASS",4,9,28,21,14,2,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652490,"NE","PIT","PASS",4,9,24,21,14,3,1,99,5,NA,NA,2015,"THU","PIT","NE",65
3990,652491,"NE","PIT","FGXP",4,9,20,28,14,0,0,0,0,"PIT","Defensive Holding",2015,"THU","PIT","NE",65
3990,652492,"PIT","NE","KOFF",4,9,20,14,28,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652493,"PIT","NE","RUSH",4,9,20,14,28,1,10,20,1,NA,NA,2015,"THU","PIT","NE",65
3990,652494,"PIT","NE","PASS",4,8,44,14,28,2,3,27,2,NA,NA,2015,"THU","PIT","NE",65
3990,652495,"PIT","NE","PASS",4,8,40,14,28,3,3,27,2,NA,NA,2015,"THU","PIT","NE",65
3990,652496,"NE","PIT","PUNT",4,8,36,28,14,4,3,27,2,"PIT","Illegal Formation",2015,"THU","PIT","NE",65
3990,652496,"NE","PIT","PUNT",4,8,36,28,14,4,3,27,2,"NE","Offensive Holding",2015,"THU","PIT","NE",65
3990,652497,"NE","PIT","RUSH",4,8,29,28,14,1,10,26,2,NA,NA,2015,"THU","PIT","NE",65
3990,652498,"NE","PIT","PASS",4,7,58,28,14,2,12,24,2,NA,NA,2015,"THU","PIT","NE",65
3990,652499,"NE","PIT","PASS",4,7,52,28,14,3,12,24,2,NA,NA,2015,"THU","PIT","NE",65
3990,652500,"NE","PIT","NOPL",4,7,45,28,14,4,12,24,2,"NE","Illegal Formation",2015,"THU","PIT","NE",65
3990,652501,"PIT","NE","PUNT",4,7,36,14,28,4,17,19,1,NA,NA,2015,"THU","PIT","NE",65
3990,652502,"PIT","NE","PASS",4,7,29,14,28,1,10,36,2,NA,NA,2015,"THU","PIT","NE",65
3990,652503,"PIT","NE","PASS",4,7,9,14,28,1,10,54,3,NA,NA,2015,"THU","PIT","NE",65
3990,652504,"NE","PIT","RUSH",4,7,0,28,14,1,10,7,1,NA,NA,2015,"THU","PIT","NE",65
3990,652505,"NE","PIT","NOPL",4,6,29,28,14,2,6,11,1,"PIT","Defensive Holding",2015,"THU","PIT","NE",65
3990,652506,"NE","PIT","RUSH",4,6,3,28,14,1,10,16,1,NA,NA,2015,"THU","PIT","NE",65
3990,652507,"NE","PIT","PASS",4,5,22,28,14,2,9,17,1,NA,NA,2015,"THU","PIT","NE",65
3990,652508,"NE","PIT","RUSH",4,4,39,28,14,1,10,27,2,NA,NA,2015,"THU","PIT","NE",65
3990,652509,"NE","PIT","RUSH",4,3,55,28,14,2,7,30,2,NA,NA,2015,"THU","PIT","NE",65
3990,652510,"NE","PIT","PASS",4,3,13,28,14,3,4,33,2,NA,NA,2015,"THU","PIT","NE",65
3990,652511,"PIT","NE","PUNT",4,3,9,14,28,4,4,33,2,"NE","Defensive Holding",2015,"THU","PIT","NE",65
3990,652512,"PIT","NE","PASS",4,2,59,14,28,1,10,30,2,NA,NA,2015,"THU","PIT","NE",65
3990,652513,"PIT","NE","PASS",4,2,52,14,28,2,10,30,2,NA,NA,2015,"THU","PIT","NE",65
3990,652514,"PIT","NE","PASS",4,2,18,14,28,3,1,39,2,NA,NA,2015,"THU","PIT","NE",65
3990,652515,"PIT","NE","PASS",4,2,0,14,28,1,10,46,3,NA,NA,2015,"THU","PIT","NE",65
3990,652516,"PIT","NE","PASS",4,1,55,14,28,2,10,46,3,NA,NA,2015,"THU","PIT","NE",65
3990,652517,"PIT","NE","PASS",4,1,27,14,28,3,8,48,3,NA,NA,2015,"THU","PIT","NE",65
3990,652518,"PIT","NE","NOPL",4,1,17,14,28,1,10,61,4,"PIT","Illegal Use of Hands",2015,"THU","PIT","NE",65
3990,652519,"PIT","NE","PASS",4,1,10,14,28,1,20,51,3,NA,NA,2015,"THU","PIT","NE",65
3990,652520,"PIT","NE","PASS",4,0,36,14,28,2,27,44,3,NA,NA,2015,"THU","PIT","NE",65
3990,652521,"PIT","NE","PASS",4,0,27,14,28,3,9,62,4,NA,NA,2015,"THU","PIT","NE",65
3990,652522,"PIT","NE","PASS",4,0,22,14,28,4,9,62,4,NA,NA,2015,"THU","PIT","NE",65
3990,652523,"PIT","NE","PASS",4,0,11,14,28,1,10,78,4,NA,NA,2015,"THU","PIT","NE",65
3990,652524,"PIT","NE","PASS",4,0,7,14,28,1,10,89,5,NA,NA,2015,"THU","PIT","NE",65
3990,652525,"PIT","NE","FGXP",4,0,2,21,28,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3990,652526,"NE","PIT","ONSD",4,0,2,28,21,0,0,0,0,NA,NA,2015,"THU","PIT","NE",65
3991,652527,"CHI","GB","KOFF",1,15,0,0,0,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
