Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Gabriel Ferrari,CHI,F,30,1,0,0,0.1,-0.1,0,0,0,0.1,0.066,2011
Anthony Wallace,COL,D,767,4,0.5,0,0.1,-0.1,2,1,0.29,0.4,0.106,2011
Kevin Harmse,VAN,M,139,1,0,0,0.1,-0.1,1,0,0.02,0.12,0.048,2011
Erik Friberg,SEA,M,2001,9,0.333,1,1.1,-0.1,19,1,1.74,2.84,0.091,2011
A.J. DeLaGarza,LA,D,2775,3,0.333,0,0.11,-0.11,2,0,0.06,0.16,0.081,2011
Dan Keat,LA,M,125,3,0.667,0,0.11,-0.11,0,0,0,0.11,0.084,2011
Laurent Courtois,CHV,M,498,12,0.167,1,1.11,-0.11,11,0,0.82,1.93,0.08,2011
Greg Janicki,VAN,D,801,1,0,0,0.11,-0.11,2,0,0.12,0.23,0.085,2011
Zak Boggs,NE,F,1414,16,0.375,1,1.11,-0.11,13,1,0.95,2.07,0.067,2011
Jamison Olave,RSL,D,2295,20,0.1,2,2.12,-0.12,4,0,0.12,2.24,0.079,2011
O'Brian White,SEA,F,537,15,0.2,2,2.12,-0.12,2,1,0.26,2.38,0.049,2011
Marvin Chavez,FCD,M,2643,66,0.258,6,6.12,-0.12,30,2,2.73,8.86,0.066,2011
Steve Purdy,POR,D,758,2,0,0,0.13,-0.13,2,0,0.08,0.2,0.118,2011
Long Tan,VAN,F,479,10,0.1,1,1.13,-0.13,6,1,0.37,1.5,0.072,2011
Brandon Barklage,DCU,M,49,2,0,0,0.13,-0.13,1,0,0.08,0.21,0.136,2011
Steven Beitashour,SJ,D,1756,4,0.5,0,0.13,-0.13,14,7,1.58,1.71,0.102,2011
Mkokheli Dube,NE,F,134,3,0.333,0,0.13,-0.13,4,0,0.37,0.5,0.094,2011
Cody Arnoux,RSL,F,78,1,0,0,0.13,-0.13,1,0,0.14,0.27,0.039,2011
Justin Morrow,SJ,D,855,2,0.5,0,0.14,-0.14,8,0,0.37,0.51,0.107,2011
Nathan Sturgis,TOR,M,1015,3,0.667,0,0.14,-0.14,15,0,1.14,1.28,0.108,2011
Stephane Auvray,NYRB,M,492,6,0,0,0.14,-0.14,3,0,0.18,0.32,0.104,2011
Zach Scott,SEA,D,922,3,0,0,0.14,-0.14,3,0,0.26,0.41,0.091,2011
Oscar Cordon,TOR,M,159,3,0.333,0,0.15,-0.15,2,0,0.07,0.22,0.073,2011
Patrick Ianni,SEA,D,1314,5,0,1,1.15,-0.15,3,0,0.24,1.38,0.079,2011
Bernardo Anor,CLB,F,678,15,0.467,1,1.15,-0.15,15,1,1.29,2.44,0.101,2011
Jeff Parke,SEA,D,2532,10,0.2,1,1.15,-0.15,4,0,0.47,1.62,0.081,2011
Doneil Henry,TOR,D,544,2,0.5,0,0.15,-0.15,1,0,0.03,0.18,0.098,2011
Darrius Barnes,NE,D,2297,2,0,0,0.15,-0.15,10,0,0.78,0.94,0.082,2011
Francisco Mendoza,CHV,M,315,5,0.8,0,0.15,-0.15,2,1,0.48,0.64,0.103,2011
Fabian Castillo,FCD,F,1424,28,0.429,2,2.15,-0.15,15,3,2.34,4.49,0.066,2011
Richard Eckersley,TOR,D,2075,6,0.5,0,0.17,-0.17,16,0,0.66,0.82,0.112,2011
Jonathan Leathers,VAN,D,1956,4,0.5,0,0.17,-0.17,9,0,0.64,0.81,0.093,2011
Eddie Johnson,POR,F,282,7,0,1,1.17,-0.17,4,0,0.22,1.39,0.071,2011
Luiz Camargo,HOU,M,543,3,0.333,0,0.18,-0.18,5,2,0.72,0.9,0.075,2011
Eric Gehrig,CLB,M,503,3,0,0,0.18,-0.18,4,0,0.49,0.67,0.098,2011
Diego Chara,POR,M,2525,26,0.269,2,2.18,-0.18,37,4,3.67,5.85,0.098,2011
Michael Harrington,SKC,D,1616,2,0,0,0.18,-0.18,19,0,1.37,1.55,0.116,2011
Adrian Cann,TOR,D,1047,3,0,0,0.19,-0.19,3,0,0.1,0.28,0.096,2011
Leonardo Gonzalez,SEA,D,1137,4,0.5,0,0.19,-0.19,7,1,0.37,0.56,0.109,2011
Simon Dawkins,SJ,M,1860,64,0.141,6,6.2,-0.2,29,1,2.24,8.44,0.092,2011
Logan Pause,CHI,M,2676,6,0.333,0,0.2,-0.2,21,0,0.73,0.93,0.097,2011
Jermaine Taylor,HOU,D,974,5,0.4,0,0.21,-0.21,10,1,0.63,0.83,0.122,2011
Chris Wingert,RSL,D,2018,9,0.222,0,0.21,-0.21,9,1,0.58,0.79,0.115,2011
Zarek Valentin,CHV,D,2230,4,0.5,0,0.21,-0.21,17,0,1.51,1.72,0.112,2011
Ike Opara,SJ,D,515,3,0,0,0.21,-0.21,2,0,0.12,0.33,0.081,2011
Danny Califf,PHI,D,3151,9,0.333,1,1.22,-0.22,4,0,0.19,1.4,0.083,2011
Sebastian Miranda,CLB,D,3201,8,0.5,0,0.22,-0.22,37,2,2.3,2.52,0.117,2011
Michael Stephens,LA,M,1208,7,0.286,0,0.22,-0.22,15,1,0.89,1.11,0.095,2011
Gregg Berhalter,LA,D,799,5,0,0,0.23,-0.23,2,1,0.4,0.63,0.086,2011
Ryan Cochrane,NE,D,1564,8,0.25,1,1.23,-0.23,3,1,0.42,1.65,0.072,2011
Artur Aghasyan,RSL,F,110,3,0.333,0,0.24,-0.24,1,0,0.18,0.42,0.145,2011
Danleigh Borman,TOR,D,1803,3,0.667,0,0.24,-0.24,18,3,1.98,2.23,0.118,2011
Zach Pfeffer,PHI,M,140,3,0.333,0,0.25,-0.25,0,0,0,0.25,0.062,2011
Miguel Pedro Lopez,LA,M,1230,30,0.133,1,1.25,-0.25,14,3,1.14,2.39,0.079,2011
Jovan Kirovski,LA,M,290,4,0.75,0,0.25,-0.25,1,0,0.03,0.28,0.076,2011
Franco Coria,NE,D,1329,4,0.25,0,0.26,-0.26,3,0,0.23,0.49,0.095,2011
C.J. Sapong,SKC,F,2260,53,0.151,5,5.27,-0.27,34,4,3.04,8.3,0.067,2011
Nana Attakora,SJ,D,808,5,0,0,0.27,-0.27,0,0,0,0.27,0.095,2011
Stephen Keel,NYRB,D,1298,3,0,0,0.27,-0.27,2,1,0.19,0.46,0.089,2011
Servando Carrasco,SEA,M,738,7,0.429,0,0.27,-0.27,6,0,0.43,0.7,0.073,2011
Jay DeMerit,VAN,D,1770,4,0.25,0,0.28,-0.28,0,0,0,0.28,0.076,2011
Scott Sealy,SJ,F,448,3,0,0,0.28,-0.28,3,0,0.16,0.44,0.066,2011
Brad Evans,SEA,M,1599,32,0.312,5,5.28,-0.28,12,3,1.14,6.43,0.092,2011
Ante Jazic,CHV,D,2603,6,0.167,0,0.29,-0.29,22,5,2.35,2.63,0.109,2011
Diego Chaves,CHI,F,1817,49,0.224,6,6.29,-0.29,29,0,2.63,8.92,0.081,2011
Clyde Simms,DCU,M,2522,10,0.4,0,0.29,-0.29,12,0,0.8,1.09,0.095,2011
Macoumba Kandji,COL,F,157,5,0.2,0,0.29,-0.29,2,0,0.23,0.52,0.085,2011
Chris Birchall,LA,M,1700,26,0.192,1,1.29,-0.29,8,0,0.51,1.8,0.078,2011
Dicoy Williams,TOR,D,695,4,0,0,0.29,-0.29,1,0,0.03,0.32,0.088,2011
John Thorrington,VAN,M,783,5,0,0,0.3,-0.3,5,0,0.29,0.59,0.113,2011
Heath Pearce,CHV,D,2731,10,0.6,0,0.3,-0.3,20,2,1.92,2.22,0.104,2011
Calen Carr,HOU,F,402,9,0.222,1,1.31,-0.31,3,0,0.14,1.44,0.057,2011
Paulo Nagamura,CHV,M,572,8,0.25,0,0.31,-0.31,5,1,0.57,0.88,0.103,2011
Stefani Miglioranzi,PHI,M,1046,8,0.5,0,0.31,-0.31,3,0,0.58,0.88,0.122,2011
Ryan Pore,POR,F,220,4,0,0,0.31,-0.31,3,0,0.1,0.41,0.08,2011
Chris Cortez,CHV,F,231,4,0.25,0,0.31,-0.31,0,0,0,0.31,0.059,2011
Andre Akpan,COL,F,523,15,0.2,1,1.32,-0.32,3,0,0.14,1.46,0.066,2011
Victor Estupinan,CHV,F,358,11,0.091,1,1.33,-0.33,1,0,0.07,1.39,0.052,2011
Jason Garey,HOU,F,205,4,0,0,0.33,-0.33,1,0,0.05,0.38,0.05,2011
Perry Kitchen,DCU,M,2883,10,0.1,1,1.34,-0.34,15,0,0.56,1.89,0.096,2011
Yamith Cuesta,CHI,D,1816,7,0,0,0.34,-0.34,2,0,0.14,0.48,0.086,2011
Anthony Ampaipitakwong,SJ,M,574,4,0,0,0.34,-0.34,11,2,1.04,1.38,0.093,2011
Corey Ashe,HOU,M,2766,9,0.222,0,0.34,-0.34,18,0,1.81,2.15,0.107,2011
Dejan Jakovic,DCU,D,1400,2,0,0,0.34,-0.34,0,0,0,0.34,0.087,2011
Andy Iro,TOR,D,1419,7,0.143,1,1.35,-0.35,1,0,0.08,1.43,0.098,2011
David Estrada,SEA,F,120,3,0.667,0,0.35,-0.35,2,0,0.23,0.58,0.089,2011
Kevin Burns,CLB,M,1313,11,0.364,0,0.35,-0.35,6,0,0.42,0.77,0.099,2011
Jeremy Hall,FCD,M,1795,9,0.222,0,0.35,-0.35,14,2,1.97,2.32,0.118,2011
Sergio Contreras Pardo,HOU,F,258,7,0.286,1,1.35,-0.35,2,0,0.24,1.59,0.071,2011
Keith Makubuya,TOR,F,50,2,0,0,0.36,-0.36,0,0,0,0.36,0.052,2011
Tim Ream,NYRB,D,2653,6,0.333,0,0.37,-0.37,7,1,0.76,1.14,0.104,2011
Tony Beltran,RSL,D,1892,5,0,0,0.38,-0.38,17,0,1.12,1.5,0.109,2011
Josip Mikulic,CHI,D,1108,4,0.5,0,0.38,-0.38,1,0,0.04,0.42,0.077,2011
Omar Bravo,SKC,F,2368,60,0.3,9,9.38,-0.38,25,2,2.61,11.99,0.061,2011
Blair Gavin,CHV,M,1017,12,0.417,0,0.39,-0.39,11,1,0.9,1.29,0.113,2011
Kevin Alston,NE,D,3120,14,0.357,0,0.39,-0.39,12,0,0.97,1.36,0.103,2011
James Riley,SEA,D,2738,7,0.429,0,0.39,-0.39,24,1,1.8,2.19,0.134,2011
Robbie Russell,RSL,D,1915,8,0.375,0,0.41,-0.41,14,2,1.88,2.29,0.102,2011
Stephen King,DCU,M,1133,18,0.278,1,1.41,-0.41,10,0,0.44,1.85,0.096,2011
Cristian Nazarith,CHI,F,669,20,0.45,2,2.41,-0.41,7,0,0.81,3.22,0.055,2011
Ruben Luna,FCD,F,462,12,0.25,1,1.42,-0.42,7,1,0.37,1.79,0.05,2011
Bruno Guarda,FCD,M,539,6,0.333,0,0.42,-0.42,5,1,0.35,0.77,0.092,2011
Jeb Brovsky,VAN,M,1609,11,0.455,0,0.44,-0.44,10,0,0.74,1.18,0.101,2011
Seth Sinovic,SKC,D,1826,6,0.5,0,0.45,-0.45,11,0,0.39,0.83,0.104,2011
Joey Gjertsen,SJ,M,1012,21,0.286,1,1.45,-0.45,15,1,2.2,3.65,0.084,2011
David Junior Lopes,CHV,D,639,4,0,0,0.46,-0.46,1,0,0.03,0.48,0.103,2011
Torsten Frings,TOR,M,1193,9,0.667,0,0.46,-0.46,15,1,0.89,1.35,0.125,2011
Drew Moor,COL,D,3069,28,0.143,4,4.48,-0.48,9,0,0.6,5.08,0.109,2011
Wes Knight,VAN,M,844,5,0.4,0,0.48,-0.48,6,1,0.72,1.2,0.099,2011
Emmanuel Ekpo,CLB,M,2717,32,0.406,1,1.49,-0.49,39,1,2.48,3.97,0.1,2011
Michael Boxall,VAN,D,1714,2,0,0,0.52,-0.52,0,0,0,0.52,0.073,2011
Veljko Paunovic,PHI,F,1299,33,0.121,3,3.52,-0.52,10,2,0.97,4.49,0.098,2011
Branko Boskovic,DCU,M,136,8,0.375,0,0.52,-0.52,1,0,0.15,0.67,0.143,2011
Omar Gonzalez,LA,D,2760,18,0.111,2,2.53,-0.53,9,1,0.56,3.09,0.097,2011
Ty Harden,TOR,D,2300,6,0.5,0,0.55,-0.55,4,0,0.48,1.02,0.082,2011
Didier Domi,NE,D,719,3,0.667,0,0.6,-0.6,4,0,0.31,0.91,0.117,2011
Simon Elliott,CHV,M,1924,17,0.471,0,0.62,-0.62,12,0,1.36,1.97,0.124,2011
Omar Salgado,VAN,F,548,15,0.267,1,1.62,-0.62,3,1,0.09,1.71,0.043,2011
Dominic Oduro,CHI,F,2790,78,0.103,12,12.62,-0.62,35,2,2.64,15.27,0.07,2011
James Marcelin,POR,M,1223,8,0.25,0,0.62,-0.62,8,0,0.46,1.08,0.109,2011
Blake Wagner,RSL,D,893,6,0.667,0,0.63,-0.63,3,0,0.2,0.83,0.115,2011
Shea Salinas,VAN,M,1796,22,0.227,1,1.63,-0.63,19,3,1.84,3.47,0.093,2011
Matt Stinson,TOR,M,736,10,0.4,0,0.65,-0.65,9,1,1.14,1.79,0.097,2011
Brad Ring,SJ,M,1693,11,0.455,0,0.65,-0.65,10,0,0.43,1.09,0.09,2011
Birahim Diop,SKC,F,852,10,0.3,0,0.66,-0.66,8,1,0.79,1.46,0.099,2011
Jair Benitez,FCD,D,2363,15,0.867,0,0.67,-0.67,26,0,1.73,2.4,0.116,2011
Alen Stevanovic,TOR,M,810,11,0.273,0,0.68,-0.68,7,0,0.53,1.21,0.079,2011
Helbert (Fred) da Silva,DCU,M,659,10,0.4,0,0.68,-0.68,6,1,0.29,0.97,0.124,2011
Sheanon Williams,PHI,D,3019,20,0.25,1,1.69,-0.69,18,2,1.92,3.61,0.112,2011
Roy Miller,NYRB,D,2839,18,0.222,0,0.69,-0.69,21,2,1.58,2.28,0.124,2011
Jhon Kennedy Hurtado,SEA,D,2163,10,0,0,0.7,-0.7,2,0,0.19,0.89,0.075,2011
Amobi Okugo,PHI,M,860,12,0.583,0,0.7,-0.7,5,0,0.58,1.28,0.103,2011
Quincy Amarikwa,COL,F,552,16,0.188,1,1.7,-0.7,3,0,0.11,1.81,0.064,2011
Jan Gunnar Solli,NYRB,M,2829,15,0.2,0,0.74,-0.74,28,5,2.48,3.22,0.105,2011
Milos Stojcev,SKC,M,856,18,0.389,0,0.75,-0.75,17,1,1.46,2.21,0.085,2011
Brad Davis,HOU,M,3041,49,0.449,4,4.77,-0.77,118,12,11.92,16.69,0.107,2011
Maicon dos Santos,FCD,F,2095,92,0.207,8,8.77,-0.77,20,2,1.69,10.46,0.071,2011
Shalrie Joseph,NE,M,3053,52,0.288,8,8.77,-0.77,37,1,2.87,11.64,0.116,2011
Blake Brettschneider,DCU,F,840,20,0.1,1,1.77,-0.77,6,2,0.85,2.63,0.071,2011
Tyrone Marshall,COL,D,2326,7,0,0,0.78,-0.78,4,1,0.18,0.96,0.093,2011
Corben Bone,CHI,M,558,10,0.5,0,0.81,-0.81,12,1,1.51,2.32,0.102,2011
Terry Dunfield,TOR,M,1268,11,0.364,1,1.81,-0.81,15,2,0.76,2.57,0.119,2011
Baggio Husidic,CHI,M,839,12,0.417,0,0.83,-0.83,16,2,1.1,1.93,0.102,2011
Jacob Peterson,SJ,M,1542,17,0.294,0,0.83,-0.83,26,2,2.47,3.3,0.077,2011
Pat Phelan,NE,D,1535,12,0,0,0.84,-0.84,7,2,1.07,1.9,0.1,2011
Jordan Harvey,VAN,D,2670,9,0.222,0,0.87,-0.87,16,4,1.42,2.29,0.093,2011
Sam Cronin,SJ,M,2043,21,0.333,0,0.88,-0.88,17,2,1.4,2.28,0.098,2011
Jeferson Rodrigues Goncalves,SKC,M,593,17,0.412,0,0.91,-0.91,11,1,0.91,1.81,0.1,2011
Chance Myers,SKC,D,2365,21,0.524,0,0.92,-0.92,35,1,3.32,4.24,0.101,2011
Justin Meram,CLB,F,568,9,0.222,0,0.93,-0.93,13,1,1.25,2.18,0.093,2011
Bobby Burling,SJ,D,2194,11,0.182,0,0.94,-0.94,6,1,0.73,1.67,0.077,2011
Nizar Khalfan,VAN,M,1159,33,0.212,1,1.98,-0.98,20,3,2.73,4.71,0.09,2011
Brian Umony,POR,F,151,6,0.167,0,0.98,-0.98,6,1,0.51,1.49,0.086,2011
Gaston Puerari,CHI,F,852,17,0.235,1,1.99,-0.99,15,0,1.02,3.01,0.078,2011
Joseph Ngwenya,DCU,F,685,11,0.273,0,0.99,-0.99,4,0,0.25,1.25,0.078,2011
Gershon Koffie,VAN,M,2667,34,0.588,1,2,-1,22,0,1.3,3.3,0.106,2011
Joao Plata,TOR,F,1855,46,0.261,3,4,-1,25,4,1.86,5.86,0.069,2011
Gianluca Zavarise,TOR,M,620,6,0.167,0,1.03,-1.03,3,1,0.66,1.68,0.066,2011
Mikael Yourassowsky,TOR,D,1400,21,0.476,0,1.04,-1.04,6,1,0.81,1.85,0.083,2011
David Horst,POR,D,1246,8,0.25,0,1.04,-1.04,3,0,0.2,1.24,0.079,2011
Dax McCarty,NYRB,M,2225,18,0.278,0,1.05,-1.05,26,3,2.46,3.51,0.118,2011
Jorge Villafa–a,CHV,M,1883,30,0.2,1,2.06,-1.06,15,1,1.3,3.36,0.087,2011
Andrew Jacobson,FCD,M,1966,32,0.406,1,2.1,-1.1,21,5,2.17,4.27,0.087,2011
Lovel Palmer,POR,M,2989,58,0.31,1,2.1,-1.1,15,1,1.12,3.22,0.103,2011
Michael Fucito,SEA,F,1092,24,0.167,2,3.1,-1.1,5,2,0.61,3.71,0.05,2011
Sal Zizzo,POR,M,1626,22,0.182,0,1.14,-1.14,21,1,1.57,2.71,0.086,2011
Gonzalo Segares,CHI,D,3133,17,0.294,0,1.16,-1.16,18,5,1.78,2.95,0.105,2011
Ryan Johnson,TOR,F,2193,46,0.174,3,4.22,-1.22,24,4,2.32,6.55,0.086,2011
Davy Arnaud,SKC,M,1628,24,0.417,0,1.24,-1.24,10,2,0.69,1.92,0.097,2011
Pat Noonan,SEA,F,292,6,0.167,0,1.24,-1.24,5,0,0.8,2.04,0.078,2011
Dejan Rusmir,CLB,M,1057,14,0.286,0,1.27,-1.27,9,1,0.58,1.85,0.097,2011
A.J. Soares,NE,D,2642,17,0.235,1,2.28,-1.28,4,0,0.13,2.41,0.089,2011
Patrick Nyarko,CHI,M,2420,33,0.364,1,2.29,-1.29,54,7,8.37,10.66,0.089,2011
Ned Grabavoy,RSL,M,2007,17,0.353,0,1.3,-1.3,20,0,2.14,3.43,0.103,2011
Arturo Alvarez,RSL,F,762,18,0.222,0,1.33,-1.33,13,1,1.72,3.05,0.092,2011
Ricardo Villar,FCD,M,1404,23,0.261,0,1.43,-1.43,36,1,2.8,4.23,0.099,2011
Dan Paladini,CHI,M,1599,37,0.405,0,1.45,-1.45,16,1,0.89,2.34,0.124,2011
Will Bruin,HOU,F,1754,54,0.148,5,6.51,-1.51,8,1,0.61,7.12,0.057,2011
Milton Rodriguez,FCD,F,551,19,0.158,1,2.53,-1.53,8,1,0.64,3.17,0.054,2011
Teemu Tainio,NYRB,M,2545,27,0.222,0,1.54,-1.54,23,1,1.85,3.38,0.128,2011
Rafael Marquez,NYRB,D,1763,16,0.5,0,1.54,-1.54,23,4,1.77,3.3,0.131,2011
Eric Alexander,POR,M,1530,19,0.211,0,1.55,-1.55,19,0,1.43,2.97,0.095,2011
Carlos Valdes,PHI,D,3056,22,0.136,1,2.57,-1.57,4,0,0.58,3.15,0.102,2011
Paolo Cardozo,LA,M,890,26,0.308,0,1.59,-1.59,9,0,0.47,2.06,0.099,2011
Mustapha Jarju,VAN,F,473,14,0.071,0,1.63,-1.63,4,0,0.2,1.83,0.063,2011
Collen Warner,RSL,M,1201,16,0.125,0,1.65,-1.65,21,4,2.37,4.02,0.086,2011
Tommy Heinemann,CLB,F,1407,45,0.089,3,4.68,-1.68,13,1,1.17,5.85,0.053,2011
Jack McInerney,PHI,F,623,16,0.188,1,2.71,-1.71,2,0,0.41,3.12,0.062,2011
Nate Jaqua,SEA,F,921,16,0.125,0,1.75,-1.75,15,1,1.81,3.56,0.077,2011
Robbie Rogers,CLB,M,2338,36,0.167,2,3.75,-1.75,41,7,3.2,6.95,0.103,2011
Todd Dunivant,LA,D,3062,12,0.333,0,1.82,-1.82,20,2,2.04,3.86,0.106,2011
Orr Barouch,CHI,F,742,28,0.143,2,3.92,-1.92,10,1,1.1,5.02,0.079,2011
Will Johnson,RSL,M,2182,39,0.256,2,3.95,-1.95,17,1,1.27,5.23,0.102,2011
Chad Marshall,CLB,D,2985,15,0,0,2.05,-2.05,8,1,0.63,2.68,0.086,2011
Abdoulie Mansally,NE,F,1279,29,0.31,0,2.16,-2.16,20,2,1.84,4,0.086,2011
Zack Schilawski,NE,F,1279,24,0.208,1,3.24,-2.24,12,1,1.04,4.27,0.06,2011
Carlos Costly,HOU,F,631,22,0.045,1,3.28,-2.28,6,0,0.61,3.89,0.076,2011
Milton Caraglio,NE,F,1035,46,0.261,3,5.82,-2.82,7,1,0.53,6.35,0.071,2011
Kalif Alhassan,POR,M,2468,58,0.362,0,3.02,-3.02,31,6,3.29,6.31,0.098,2011
Kenny Cooper,NYRB,F,2656,84,0.167,18,11.07,6.93,25,2,2.59,13.67,0.052,2012
Alan Gordon,SJ,F,1394,43,0.186,13,6.23,6.77,25,5,1.84,8.07,0.081,2012
Thierry Henry,NYRB,F,2228,88,0.284,15,8.92,6.08,57,12,6.33,15.25,0.079,2012
Chris Wondolowski,SJ,F,3010,127,0.236,27,22.06,4.94,38,5,4.31,26.37,0.068,2012
David Beckham,LA,M,2112,40,0.675,7,2.22,4.78,50,5,5.16,7.38,0.133,2012
Eddie Johnson,SEA,F,2243,72,0.014,14,9.37,4.63,30,2,2.67,12.04,0.075,2012
Vitor Gomes Pereira Junior,LA,M,2819,52,0.212,7,2.42,4.58,23,2,1.67,4.09,0.116,2012
Eddie Gaven,CLB,M,3190,55,0.145,9,4.87,4.13,48,1,4.22,9.08,0.092,2012
Kamani Hill,COL,F,647,15,0.333,5,1.34,3.66,10,0,1.34,2.67,0.092,2012
Jairo Arrieta,CLB,F,1628,41,0.244,9,5.75,3.25,29,4,2.48,8.23,0.063,2012
Chris Rolfe,CHI,F,1869,58,0.31,8,4.83,3.17,34,3,3.61,8.43,0.09,2012
Gabriel Gomez,PHI,M,1662,30,0.567,6,2.83,3.17,14,0,1.31,4.15,0.111,2012
Joel Lindpere,NYRB,M,2513,28,0.179,5,2.09,2.91,35,4,3.47,5.57,0.084,2012
Patrice Bernier,MTL,M,2331,32,0.5,9,6.17,2.83,34,7,3.04,9.21,0.124,2012
Jacob Peterson,SKC,M,1032,24,0.25,4,1.68,2.32,11,1,1.23,2.91,0.063,2012
Simon Dawkins,SJ,M,1975,65,0.092,8,5.69,2.31,26,1,1.85,7.54,0.103,2012
David Estrada,SEA,F,1085,25,0.32,5,2.73,2.27,14,0,1.29,4.02,0.088,2012
Brad Davis,HOU,M,2656,53,0.377,8,5.84,2.16,69,10,7.6,13.44,0.108,2012
Justin Meram,CLB,F,1042,27,0.185,4,1.87,2.13,11,1,1.87,3.74,0.09,2012
Alvaro Saborio,RSL,F,2535,87,0.218,17,14.92,2.08,16,3,1.82,16.74,0.059,2012
Chris Pontius,DCU,F,2465,71,0.324,12,10.01,1.99,38,4,3.77,13.78,0.08,2012
Federico Higuain,CLB,F,1084,32,0.531,5,3.02,1.98,41,6,4.43,7.45,0.109,2012
Marco Pappa,CHI,M,1686,69,0.319,6,4.2,1.8,32,5,2.29,6.49,0.113,2012
Steven Lenhart,SJ,F,1816,64,0.172,10,8.22,1.78,30,2,2.43,10.65,0.065,2012
C.J. Sapong,SKC,F,2356,61,0.115,9,7.26,1.74,28,1,2.19,9.46,0.056,2012
Matt Hedges,FCD,D,2175,12,0.667,3,1.27,1.73,1,0,0.03,1.3,0.095,2012
Darren Mattocks,VAN,F,1425,38,0.158,7,5.29,1.71,6,0,0.43,5.72,0.048,2012
Lewis Neal,DCU,M,780,7,0.286,2,0.3,1.7,11,1,1.35,1.65,0.114,2012
Austin Berry,CHI,D,2687,14,0,3,1.35,1.65,3,0,0.11,1.46,0.088,2012
Dane Richards,VAN,M,2544,30,0.2,4,2.37,1.63,23,2,2.92,5.29,0.066,2012
Patrick Nyarko,CHI,M,2909,40,0.4,4,2.38,1.62,51,7,5.86,8.25,0.094,2012
Saer Sene,NE,F,2065,75,0.227,11,9.4,1.6,27,3,2.86,12.26,0.079,2012
Nick DeLeon,DCU,M,2298,44,0.364,6,4.41,1.59,42,3,3.69,8.1,0.094,2012
Andrew Wenger,MTL,F,916,20,0.2,4,2.42,1.58,8,0,0.38,2.8,0.052,2012
Darlington Nagbe,POR,M,2942,50,0.22,6,4.47,1.53,38,0,2.93,7.41,0.087,2012
Brandon Barklage,NYRB,M,1451,9,0.444,2,0.5,1.5,14,3,1.28,1.78,0.114,2012
Tyrone Marshall,COL,D,1228,7,0.143,2,0.57,1.43,2,0,0.15,0.72,0.084,2012
Danny Koevermans,TOR,F,1252,39,0.154,9,7.57,1.43,12,2,1.31,8.88,0.072,2012
Todd Dunivant,LA,D,2714,8,0.25,2,0.58,1.42,13,1,2.26,2.84,0.105,2012
Drew Moor,COL,D,3231,17,0.176,3,1.59,1.41,14,1,1.13,2.72,0.108,2012
Heath Pearce,NYRB,D,2657,7,0,2,0.62,1.38,9,0,1.54,2.16,0.103,2012
Oscar Boniek Garcia,HOU,M,1621,30,0.267,4,2.62,1.38,23,3,2.23,4.85,0.093,2012
Andre Akpan,COL,F,495,9,0.222,3,1.67,1.33,6,0,1.13,2.8,0.062,2012
Terry Dunfield,TOR,M,2651,24,0.458,3,1.68,1.32,31,0,2.24,3.92,0.105,2012
Jamie Smith,COL,M,261,4,0.25,2,0.68,1.32,6,0,0.44,1.12,0.103,2012
Gonzalo Segares,CHI,D,2911,15,0.267,3,1.69,1.31,22,0,2.53,4.22,0.108,2012
Kyle Beckerman,RSL,M,2792,35,0.286,4,2.72,1.28,32,3,3.12,5.83,0.128,2012
Shalrie Joseph,CHV,M,2746,22,0.182,3,1.72,1.28,28,2,2.47,4.19,0.112,2012
Gershon Koffie,VAN,M,2659,39,0.436,3,1.75,1.25,22,2,1.92,3.67,0.1,2012
Jack McInerney,PHI,F,1766,42,0.048,8,6.85,1.15,14,2,1.02,7.87,0.061,2012
Fabian Castillo,FCD,F,1999,36,0.139,6,4.86,1.14,20,3,2.19,7.04,0.081,2012
Eric Hassli,TOR,F,1567,49,0.143,5,3.86,1.14,17,5,2.17,6.03,0.089,2012
Fabian Espindola,RSL,F,2483,69,0.145,9,7.87,1.13,33,6,4.25,12.12,0.085,2012
Maicon dos Santos,DCU,F,1560,64,0.172,7,5.87,1.13,19,2,1.51,7.38,0.079,2012
Jan Gunnar Solli,NYRB,D,1961,16,0.062,3,1.94,1.06,20,3,2.06,4,0.083,2012
Sinisa Ubiparipovic,MTL,M,379,5,0.4,2,0.94,1.06,6,0,0.33,1.27,0.084,2012
Dan Paladini,CHI,M,762,13,0.308,2,0.96,1.04,9,2,1.06,2.02,0.111,2012
Aurelien Collin,SKC,D,2667,28,0.107,3,2.03,0.97,7,1,0.31,2.34,0.115,2012
Brian Mullan,COL,M,2210,16,0.25,2,1.04,0.96,34,6,3.85,4.89,0.091,2012
Marvin Chavez,SJ,M,2000,41,0.366,3,2.06,0.94,56,10,7.01,9.07,0.084,2012
Oriol Rosell Argerich,SKC,M,142,1,0,1,0.09,0.91,1,0,0.05,0.14,0.093,2012
Andrew Baptiste,POR,D,453,2,0.5,1,0.1,0.9,0,0,0,0.1,0.075,2012
Calen Carr,HOU,F,1599,29,0.172,4,3.1,0.9,23,1,3.02,6.12,0.086,2012
Bright Dike,POR,F,940,29,0.172,5,4.11,0.89,4,0,0.17,4.28,0.052,2012
Barry Robson,VAN,M,1513,32,0.5,3,2.11,0.89,19,1,1.71,3.82,0.122,2012
