Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Mamadou Danso,POR,D,2099,20,0.05,3,1.97,1.03,4,0,0.22,2.19,0.07,2011
Robbie Keane,LA,F,286,5,0,2,0.99,1.01,1,1,0.24,1.23,0.054,2011
Freddy Adu,PHI,F,650,15,0.333,2,1.01,0.99,10,1,0.77,1.78,0.088,2011
Eric Hassli,VAN,F,2059,72,0.153,10,9.02,0.98,27,1,1.44,10.46,0.087,2011
Radivoje Lekic,NE,F,1947,44,0.205,6,5.06,0.94,16,1,0.85,5.91,0.062,2011
Soony Saad,SKC,F,56,2,0.5,1,0.08,0.92,0,0,0,0.08,0.035,2011
Khari Stephenson,SJ,M,2359,78,0.385,5,4.09,0.91,25,2,1.73,5.82,0.094,2011
Dilly Duka,CLB,M,1454,26,0.269,2,1.11,0.89,28,1,2.28,3.39,0.102,2011
Justin Mapp,PHI,M,1928,29,0.31,3,2.11,0.89,28,3,3.33,5.43,0.093,2011
Monsef Zerka,NE,F,519,14,0.071,2,1.13,0.87,9,1,0.97,2.1,0.1,2011
Davide Chiumiento,VAN,M,1753,20,0.2,2,1.14,0.86,43,7,4.87,6.01,0.109,2011
Rodney Wallace,POR,D,2083,19,0.316,2,1.14,0.86,11,2,1.22,2.36,0.141,2011
David Ferreira,FCD,M,533,11,0.273,3,2.18,0.82,21,1,2.24,4.42,0.107,2011
Jack Jewsbury,POR,M,2947,47,0.426,7,6.19,0.81,53,3,4.49,10.68,0.097,2011
Luke Sassano,SKC,D,570,2,0,1,0.2,0.8,3,0,0.17,0.37,0.095,2011
Alex Dixon,HOU,M,106,2,0.5,1,0.21,0.79,0,0,0,0.21,0.091,2011
Jose Leonardo Ribeiro da Silva,LA,D,672,2,0,1,0.23,0.77,0,0,0,0.23,0.084,2011
David Beckham,LA,M,2342,29,0.793,2,1.24,0.76,64,11,6.77,8.01,0.128,2011
Ellis McLoughlin,SJ,F,202,7,0,1,0.25,0.75,2,0,0.08,0.33,0.073,2011
Marc Burch,DCU,D,1192,7,0.429,1,0.28,0.72,7,1,0.78,1.06,0.11,2011
Pavel Pardo,CHI,M,1127,6,0.833,1,0.28,0.72,15,4,1.76,2.03,0.104,2011
Peri Marosevic,TOR,F,439,12,0.25,2,1.29,0.71,2,0,0.18,1.46,0.051,2011
Nelson Gonzalez,RSL,M,191,5,0.2,1,0.29,0.71,8,1,0.95,1.24,0.109,2011
Cory Gibbs,CHI,D,2409,19,0.211,3,2.29,0.71,4,1,0.23,2.52,0.066,2011
Carlos Ruiz,PHI,F,1196,35,0.2,6,5.3,0.7,17,0,1.34,6.64,0.059,2011
Kei Kamara,SKC,F,2333,91,0.231,9,8.31,0.69,33,4,3.21,11.52,0.097,2011
Chris Schuler,RSL,D,1736,13,0.077,2,1.33,0.67,2,0,0.05,1.38,0.091,2011
Sanna Nyassi,COL,M,1698,61,0.279,5,4.33,0.67,38,4,3.78,8.11,0.092,2011
Javier Morales,RSL,M,823,12,0.75,2,1.35,0.65,28,2,3.16,4.51,0.131,2011
Matt Besler,SKC,D,3073,10,0.3,2,1.36,0.64,16,1,1.23,2.59,0.099,2011
Sebastien Le Toux,PHI,F,3247,81,0.42,11,10.36,0.64,65,7,7.44,17.8,0.078,2011
Rich Balchan,CLB,D,1699,1,0,1,0.37,0.63,5,0,0.4,0.77,0.099,2011
Michael Lahoud,CHV,M,1423,12,0.417,1,0.38,0.62,19,3,1.68,2.05,0.114,2011
Ilija Stolica,NE,F,82,1,0,1,0.39,0.61,0,0,0,0.39,0.039,2011
Gabriel Farfan,PHI,M,1707,2,0,1,0.4,0.6,7,2,1.19,1.6,0.105,2011
Chris Tierney,NE,D,2334,32,0.594,2,1.41,0.59,48,4,4.01,5.42,0.116,2011
Brandon McDonald,DCU,D,2435,10,0.3,2,1.41,0.59,2,0,0.14,1.55,0.084,2011
Aurelien Collin,SKC,D,2059,15,0.067,3,2.41,0.59,5,0,0.59,3,0.101,2011
Kenny Cooper,POR,F,2678,78,0.231,8,7.41,0.59,18,0,0.95,8.36,0.069,2011
Jack McBean,LA,F,91,1,0,1,0.42,0.58,0,0,0,0.42,0.073,2011
Josh Wolff,DCU,F,2000,41,0.244,5,4.47,0.53,47,6,4.87,9.34,0.078,2011
Marko Perovic,NE,M,272,10,0.5,1,0.48,0.52,5,1,0.61,1.09,0.091,2011
Diego Fagundez,NE,M,333,12,0.333,2,1.48,0.52,8,0,0.61,2.08,0.063,2011
Daniel Woolard,DCU,D,2377,8,0.5,1,0.49,0.51,3,0,0.16,0.65,0.097,2011
Bright Dike,POR,F,208,3,0.333,1,0.5,0.5,0,0,0,0.5,0.06,2011
Dan Gargan,CHI,M,1959,7,0.143,1,0.5,0.5,9,0,0.61,1.11,0.125,2011
Javier Martina,TOR,F,1475,15,0.067,2,1.5,0.5,17,0,1.26,2.77,0.062,2011
Alejandro Moreno,CHV,F,2135,30,0.267,5,4.51,0.49,21,1,1.58,6.09,0.066,2011
Tyson Wahl,SEA,D,2116,7,0.571,1,0.54,0.46,25,2,1.96,2.5,0.111,2011
Zach Loyd,FCD,D,2557,8,0.25,1,0.54,0.46,17,3,2.24,2.78,0.116,2011
Kosuke Kimura,COL,D,3174,13,0.385,1,0.55,0.45,24,0,1.43,1.98,0.115,2011
Rafael Baca,SJ,M,1114,12,0.5,1,0.55,0.45,28,3,2.32,2.87,0.107,2011
Andrew Boyens,CHV,D,1027,7,0,1,0.57,0.43,1,0,0.03,0.6,0.082,2011
Ramiro Corrales,SJ,D,2686,29,0.379,2,1.58,0.42,31,0,2,3.57,0.121,2011
Nick Soolsma,TOR,F,1670,27,0.185,3,2.59,0.41,27,4,2.18,4.76,0.078,2011
Ryan Smith,SKC,M,319,9,0,1,0.59,0.41,6,0,0.36,0.95,0.083,2011
Andre Hainault,HOU,D,2956,9,0.444,1,0.59,0.41,13,0,0.79,1.38,0.112,2011
Alvaro Saborio,RSL,F,2026,66,0.182,11,10.61,0.39,23,2,2.63,13.24,0.056,2011
Mike Chabala,POR,D,1521,7,0.429,1,0.62,0.38,17,2,2.3,2.92,0.123,2011
Steve Zakuani,SEA,M,479,12,0.5,2,1.62,0.38,5,1,0.83,2.45,0.084,2011
Bobby Warshaw,FCD,D,522,2,0,1,0.64,0.36,3,0,0.14,0.77,0.085,2011
Austin Da Luz,DCU,M,1058,16,0.562,1,0.69,0.31,8,2,0.52,1.21,0.095,2011
Bobby Convey,SJ,M,1868,17,0.412,1,0.71,0.29,35,2,2.53,3.23,0.117,2011
Danny Cruz,HOU,M,1217,25,0.36,2,1.72,0.28,15,1,1.62,3.34,0.08,2011
Brian Mullan,COL,M,1847,14,0.429,1,0.72,0.28,17,1,1.03,1.75,0.082,2011
Kevin Goldthwaite,POR,D,202,1,0,1,0.72,0.28,0,0,0,0.72,0.079,2011
Adam Cristman,LA,F,551,8,0.25,1,0.75,0.25,10,1,0.96,1.7,0.061,2011
Hunter Freeman,HOU,D,2006,4,0.75,1,0.77,0.23,32,1,2.35,3.12,0.116,2011
Darlington Nagbe,POR,M,1712,30,0.233,2,1.77,0.23,34,3,2.52,4.29,0.091,2011
