Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
John.Albert	C	WPG	9	20132014	24	0.585	1	0	1.27	0	45.12	89.62	20	-3.51	48.63	-8	37	45	4	47.33
Daniel.Alfredsson	R	OTT	72	20072008	34	4.705	20	29	1.17	1.69	53.52	101.09	17.09	3.03	50.49	133	1010	877	97	1028.54
Daniel.Alfredsson	R	OTT	79	20082009	35	3.8	13	25	0.74	1.42	52.81	101.16	11.11	5.02	47.79	110	1035	925	104	1057.25
Daniel.Alfredsson	R	OTT	75	20092010	36	7	12	22	0.73	1.33	48.54	100.8	11.76	-3.49	52.03	-52	862	914	90	990.7
Daniel.Alfredsson	R	OTT	54	20102011	37	7	6	10	0.51	0.86	47.81	96.2	9.23	-4.02	51.83	-55	599	654	59	701.1
Daniel.Alfredsson	R	OTT	79	20112012	38	4.5	15	20	0.85	1.13	55.7	100.67	11.03	4.75	50.95	233	1138	905	121	1063.4
Daniel.Alfredsson	R	OTT	57	20122013	39	1	5	7	0.39	0.54	53.91	99.73	6.58	1.3	52.61	120	827	707	71	772.93
Daniel.Alfredsson	R	DET	71	20132014	40	3.5	11	16	0.74	1.07	51.19	100.89	11.83	-0.86	52.05	35	753	718	82	893.6
Akim.Aliu	R	CGY	2	20112012	22	0.765	2	1	5.53	2.76	48.57	127.27	66.67	-1.43	50	-1	17	18	1	21.71
Akim.Aliu	R	CGY	5	20122013	23	0.695	0	0	0	0	35.96	93.75	0	-8.34	44.29	-25	32	57	2	48.66
Bobby.Allen	D	BOS	19	20072008	28	NA	0	0	0	0	50.21	97.84	0	-2.29	52.49	1	121	120	7	163.89
Bryan.Allen	D	FLA	73	20072008	27	2.25	1	11	0.05	0.56	48.15	101.76	1.82	-1.34	49.49	-80	1040	1120	54	1188.89
Bryan.Allen	D	FLA	2	20082009	28	3	0	1	0	1.48	55.56	113.04	0	1.53	54.02	8	40	32	4	40.42
