Team,Year,GameMinute,Kicker,Distance,ScoreDiff,Grass,Success
TB,2005,30,Bryant,43,-1,FALSE,1
TB,2005,56,Bryant,30,-5,FALSE,1
TB,2005,14,Bryant,36,4,TRUE,1
TB,2005,41,Bryant,32,4,TRUE,1
TB,2005,30,Bryant,47,-3,TRUE,1
TB,2005,47,Bryant,52,-9,TRUE,0
TB,2005,5,Bryant,31,0,FALSE,1
TB,2005,22,Bryant,45,10,FALSE,1
TB,2005,60,Bryant,45,0,FALSE,1
TB,2005,13,Bryant,27,-7,TRUE,1
TB,2005,58,Bryant,29,-3,TRUE,0
TB,2005,30,Bryant,34,7,TRUE,1
TB,2005,41,Bryant,36,10,TRUE,1
TB,2005,51,Bryant,50,-3,TRUE,1
TB,2005,65,Bryant,27,0,TRUE,0
TB,2005,75,Bryant,41,0,TRUE,1
TB,2005,30,Bryant,46,4,TRUE,1
TB,2005,53,Bryant,26,4,TRUE,1
TB,2005,20,Bryant,43,-14,TRUE,1
NO,2005,40,Carney,29,7,TRUE,1
NO,2005,48,Carney,48,3,TRUE,1
NO,2005,60,Carney,47,0,TRUE,1
NO,2005,30,Carney,21,-14,FALSE,1
NO,2005,47,Carney,29,-14,FALSE,0
NO,2005,40,Carney,22,-18,FALSE,1
NO,2005,21,Carney,23,-7,FALSE,1
NO,2005,30,Carney,40,3,FALSE,1
NO,2005,37,Carney,32,6,FALSE,0
NO,2005,55,Carney,20,6,FALSE,1
NO,2005,59,Carney,37,9,FALSE,1
NO,2005,7,Carney,33,0,TRUE,1
NO,2005,27,Carney,43,-25,TRUE,0
NO,2005,30,Carney,43,-32,TRUE,0
NO,2005,21,Carney,19,4,FALSE,1
NO,2005,30,Carney,47,0,FALSE,0
NO,2005,17,Carney,45,14,FALSE,0
NO,2005,47,Carney,22,7,FALSE,1
NO,2005,9,Carney,26,0,TRUE,1
NO,2005,42,Carney,49,-6,TRUE,1
NO,2005,3,Carney,22,0,TRUE,1
NO,2005,47,Carney,30,-14,TRUE,0
NO,2005,58,Carney,46,-10,TRUE,1
NO,2005,30,Carney,26,-7,TRUE,1
NO,2005,12,Carney,47,-7,FALSE,1
NO,2005,55,Carney,44,-17,TRUE,1
NO,2005,29,Carney,35,-7,FALSE,1
NO,2005,36,Carney,47,-4,FALSE,1
NO,2005,40,Carney,33,-1,FALSE,1
NO,2005,59,Carney,20,-1,FALSE,1
NO,2005,17,Carney,25,-7,TRUE,1
NO,2005,48,Carney,24,-7,TRUE,1
DAL,2005,7,Cortez,41,0,FALSE,0
DAL,2005,19,Cortez,33,0,FALSE,1
DAL,2005,54,Cortez,41,10,FALSE,1
DAL,2005,24,Cortez,29,-10,TRUE,1
DAL,2005,44,Cortez,30,-10,TRUE,1
DAL,2005,15,Cortez,28,14,FALSE,1
DAL,2005,30,Cortez,33,21,FALSE,1
DAL,2005,34,Cortez,37,24,FALSE,1
DAL,2005,56,Cortez,45,20,FALSE,1
DAL,2005,30,Cortez,49,1,FALSE,0
DAL,2005,37,Cortez,48,1,FALSE,0
DAL,2005,48,Cortez,29,1,FALSE,1
DAL,2005,56,Cortez,28,4,FALSE,1
DAL,2005,64,Cortez,45,0,FALSE,1
DAL,2005,47,Cortez,29,4,FALSE,0
DAL,2005,58,Cortez,21,4,FALSE,1
SF,2005,13,Cortez,34,0,TRUE,0
DAL,2005,24,Cundiff,19,7,FALSE,1
